"Heslář","Obsah"
"Typ nálezu","Kategorizace nálezů na předměty (movité) a objekty (nemovité). Jedná se o systémový heslář."
"Nález – objekt (kategorie)","Slouží pro kategorizaci položek ve dvojstupňovém hesláři Objektů na základě obecnějších pojmů."
"Nález – objekt (druh)","Katalog druhů nemovitých nálezů. Obsahuje položky pro popis objektů, jejich částí, konstrukčních článků, vrstev i přírodních útvarů."
"Specifikace objektu – kategorie","Slouží pro kategorizaci položek ve dvojstupňovém hesláři Specifikace objektu na základě obecnějších pojmů."
"Specifikace objektu","Bližší specifikace Druhu objektu na základě způsobu provedení a užitých či zpracovávaných materiálů."
"Nález – předmět (kategorie)","Slouží pro kategorizaci položek ve dvojstupňovém hesláři Předmětů na základě obecnějších pojmů."
"Nález – předmět (druh)","Katalog druhů movitých nálezů. Obsahuje položky pro popis artefaktů, ekofaktů, přírodních faktů, jejich částí či vzorků."
"Specifikace předmětu","Specifikace užitého materiálu pro byl daný Druh předmětu."
