"Heslář","Obsah"
"Typ externího zdroje","Definuje typ zdroje popisovaného bibliografickým záznamem (kniha, článek, nepublikovaná zpráva atd.). Jedná se o systémový heslář."
"Autorská role","Volba autorské role pro zadávání bibliografických údajů. Jedná se o systémový heslář."
