"Stav","Název","Vysvětlivka","Provádí"
"AZ1","Zapsaná","Akce byla založena, avšak nebyly doplněny všechny údaje a akce nebyla postoupena k dalšímu zpracování. U projektových akcí je přidělen identifikátor odvozený od identifikátoru projektu. U samostatných akcí je přidělen dočasný identifikátor akce.","Archeolog/Badatel"
"AZ2","Odeslaná","Akce byla odeslána ke kontrole správci systému a obsahuje všechny potřebné údaje, včetně požadované dokumentace. Záznam je opatřen trvalým identifikátorem.","Archeolog/Badatel"
"AZ3","Archivovaná","Akce byla po kontrole všech údajů správcem systému archivována spolu s připojenou dokumentací. Akce v tomto stavu jsou viditelné v [Digitálním archivu AMČR](https://digiarchiv.aiscr.cz/){.external}.","Archivář"
