"Stav","Název","Vysvětlivka","Provádí"
"P0","Oznámený","Projekt po zadání pomocí veřejného formuláře na adrese [https://amcr.aiscr.cz/oznameni](https://amcr.aiscr.cz/oznameni){.external}. Po zadání je projektu přidělen dočasný identifikátor do doby administrativní kontroly a schválení oznámení archeologickými ústavy. Na základě kontroly je oznamovateli automaticky vystaveno potvrzení.","Kdokoli"
"P1","Zapsaný","Za zapsaný je považován takový záznam o projektu, který obsahuje údaje o lokalizaci, plánovaném zahájení a oznamovateli, vč. rámcové lokalizace projektu v mapě. Projekt lze zapsat pomocí formuláře `Zapsat projekt` nebo schválením oznámení. Zapsaný projekt je dostupný pro přihlášení kterékoli oprávněné organizací pomocí obrazovky `Přihlásit projekt`. V momentě zápisu je projektu přidělen definitivní identifikátor.","Archeolog"
"P2","Přihlášený","Projekt vybraný a přihlášený ke konkrétní oprávněné archeologické organizaci pomocí obrazovky `Přihlásit projekt`. Výběrem konkrétního projektu, doplněním povinných údajů a potvrzením se oprávněná organizace zavazuje k provedení výzkumu. Projekt není dostupný ostatním oprávněným organizacím k úpravám. V této fázi je možné volně připojovat projektovou dokumentaci. V této fázi je též nutné vyplnit korektní údaje o památkové ochraně, které jsou předány *Národnímu památkovému ústavu*.","Archeolog"
"P3","Zahájený v terénu ","Postihuje běžící projekty, u nichž bylo pomocí obrazovky `Zahájit terén` zadáno datum zahájení terénních prací. U těchto projektů je možno k projektu přidávat Akce pro podávání údajů o odborných výsledcích projektu.","Archeolog"
"P4","Ukončený v terénu","Projekt je považován za ukončený po skončení jeho terénní části. Datum ukončení je do systému zadáváno pomocí obrazovky `Ukončit terén` a od tohoto data začíná běžet lhůta pro odevzdání nálezové zprávy. U těchto projektů je možno k projektu zapisovat projektové akce pro podávání údajů o odborných výsledcích projektu.","Archeolog"
"P5","Uzavřený","Projekt je uzavřený po vyplnění potřebných údajů k jednotlivým akcím, včetně prostorového vymezení, připojení všech relevantních dokumentů a odeslání ke kontrole pomocí obrazovky `Uzavřít projekt`.","Archeolog"
"P6","Archivovaný","Projekt je archivován archiváři archeologických ústavů v návaznosti na jeho uzavření pracovníkem oprávněné organizace. Dochází ke kontrole a archivaci všech připojených projektových akcí a jejich náležitostí.","Archivář"
"P7","Navržen ke zrušení","Projekt byl uživatelem navržen ke zrušení, neboť nedojde k jeho realizaci, nebo se jedná o chybný zápis.","Archeolog"
"P8","Zrušený","Projekt byl správcem systému na základě předchozího návrhu zrušen.","Archivář"
