"Heslář","Obsah"
"Jména","Heslář obsahuje jména osob působících nebo publikujících na poli české archeologie. Nelze jej však zaměňovat za autoritní seznam jednotlivců. Pokud v systému vystupuje několik osob se stejným jménem, všechny tyto osoby budou vedeny pod totožnou položkou hesláře. Cílem hesláře jmen tak není jednoznačně identifikovat osoby, ale zjednodušit zápis jména. Identifikace konkrétní osoby je možná na úrovni registrovaného uživatele. Heslář obsahuje jak celé jméno a příjmení (např. Novák, Jan), tak zkrácenou verzi pro výpis (Novák, J.)."
"Organizace","V hesláři jsou zastoupeny oprávněné organizace a další instituce, které mohou mít či měly vztah k archeologickým výzkumům na území ČR. Heslář organizací je užíván zejména při registraci uživatele, pro určení jeho afilace a dále při popisu projektů, akcí a dokumentů. Pokud některá organizace není v hesláři zastoupena, je třeba kontaktovat správce systému a zažádat o její zařazení do evidence. Každá organizace je vymezena svým názvem a typem."
"Typ organizace","Rozdělení organizací podle typu (muzea, univerzity, ústavy památkové péče apod.). Jde o pomocný heslář pro účely administrace."
"Přístupnost","Heslář přístupnosti záznamů odpovídá rozdělení uživatelských rolí (A–E; anonym, badatel, archeolog, archivář, administrátor). Slouží k přiřazování nutného oprávnění pro zobrazení libovolného záznamu (projektu, akce, dokumentu atd.). Jedná se o systémový heslář."
"Kraje","Heslář odpovídá aktuálnímu správnímu členění ČR podle dat Českého úřadu zeměměřičského a katastrálního. Jedná se o systémový heslář."
"Okresy","Heslář odpovídá aktuálnímu správnímu členění ČR podle dat Českého úřadu zeměměřičského a katastrálního. Jedná se o systémový heslář."
"Katastry","Heslář v základu odpovídá aktuálnímu správnímu členění ČR podle dat Českého úřadu zeměměřičského a katastrálního. Tato data jsou doplněna o katastry již zaniklé či přejmenované (označeny hvězdičkou; tzv. staré katastry). Zaniklé katastry jsou evidovány z důvodu zpětné kompatibility se staršími daty, která bývají v literatuře často uváděna pod názvem katastrálního území, které však již nemusí existovat. Mezi záznamy o nových a starých katastrech vždy existuje prostorový vztah, který je v databázi evidován. Nové archeologické projekty jsou uváděny pod stávajícím názvem katastru, při digitalizaci starších samostatných akcí však může být užíváno i názvů zaniklých katastrálních území. Jedná se o systémový heslář."
"Souřadnicový systém","Seznam souřadnicových systémů užívaných v aplikaci. Jedná se o systémový heslář."
