"Stav","Název","Vysvětlivka","Provádí"
"AZ1","Zapsaná","Lokalita byla založena, avšak nebyly doplněny všechny údaje a lokalita nebyla dosud postoupena k dalšímu zpracování. Identifikátor lokality je pouze dočasný.","Archeolog/Badatel"
"AZ2","Odeslaná","Lokalita byla odeslána ke kontrole správci systému a obsahuje všechny potřebné údaje. Záznam je opatřen trvalým identifikátorem.","Archeolog/Badatel"
"AZ3","Archivovaná","Lokalita byla po kontrole všech údajů správcem systému archivována. Lokality v tomto stavu jsou viditelné v [Digitálním archivu AMČR](https://digiarchiv.aiscr.cz/){.external}.","Archivář"
