"Heslář","Obsah"
"Typ dokumentační jednotky","Heslářové položky definují věcnou podstatu prostoru vymezeného dokumentační jednotkou. Jedná se o systémový heslář."
"Typ PIAN","Heslář dělí jednotky PIAN podle typu geografické reprezentace (body/linie/polygony). Jedná se o systémový heslář."
"Přesnost","Položky hesláře určují přesnost vymezení PIAN. Jedná se o systémový heslář."
