"Heslář","Obsah"
"Typ akce – první","Slouží pro kategorizaci položek ve dvojstupňovém hesláři Typ akce, na základě obecné povahy výzkumu."
"Typ akce – druhá","Obsahuje dílčí typy archeologických akcí na základě metody výzkumu."
"Specifikace data","Slouží pro určení přesnosti vymezení data provedení archeologické akce (např. „kolem roku“, „po roce“, „přesně“ apod.). Jedná se o systémový heslář."
