"Stav","Název","Vysvětlivka","Provádí"
"P1","Zapsaný","Za zapsaný je považován takový záznam o projektu, který obsahuje údaje o lokalizaci, plánovaném zahájení a objednateli, vč. rámcové lokalizace projektu v mapě. Projekt lze zapsat pomocí formuláře Zapsat projekt. Zapsaný projekt je dostupný pro přihlášení kteroukoli oprávněnou organizací pomocí obrazovky Přihlásit projekt. V momentě zápisu je projektu přidělen definitivní identifikátor.","Archeolog"
"P2","Přihlášený","Projekt vybraný a přihlášený ke konkrétní oprávněné archeologické organizaci pomocí obrazovky Přihlásit projekt. Výběrem konkrétního projektu, doplněním povinných údajů a potvrzením se oprávněná organizace zavazuje k provedení výzkumu. Projekt není dostupný ostatním oprávněným organizacím k úpravám. V této fázi je možné volně připojovat projektovou dokumentaci. V této fázi je též nutné vyplnit korektní údaje o památkové ochraně.","Archeolog"
"P3","Zahájený v terénu ","Postihuje běžící projekty, u nichž bylo pomocí obrazovky Zahájit terén zadáno datum zahájení terénních prací. U těchto projektů je možno k projektu přidávat Karty akce pro podávání údajů o odborných výsledcích projektu.","Archeolog"
"P4","Ukončený v terénu","Projekt je považován za ukončený po skončení jeho terénní části. Datum ukončení je do systému zadáváno pomocí obrazovky Ukončit terén a od tohoto data začíná běžet lhůta pro odevzdání nálezové zprávy. U těchto projektů je možno k projektu přidávat Karty akcí pro podávání údajů o odborných výsledcích projektu.","Archeolog"
"P5","Uzavřený","Projekt je uzavřený po vyplnění potřebných údajů k jednotlivým akcím, včetně prostorového vymezení, připojení všech nálezových zpráv a odeslání ke kontrole pomocí obrazovky Uzavřít projekt.","Archeolog"
"P6","Archivovaný","Projekt je automaticky archivován, jakmile byl uzavřený pracovníkem oprávněné organizace a jsou archivovány všechny obsažené Karty akcí. Archivované projekty jsou viditelné ve Vyhledávání.","Archivář"
"P7","Navržen ke zrušení","Projekt byl uživatelem pomocí Karty projektu navržen ke zrušení, neboť nedošlo k jeho realizaci, nebo se jedná o chybný zápis.","Archeolog"
"P8","Zrušený","Projekt byl správcem systému pomocí Karty projektu zrušen, neboť nedošlo k jeho realizaci, nebo se jedná o chybný zápis.","Archivář"
