"Heslář","Obsah"
"Dohlednost","Heslář umožňuje zvolit míru dohlednosti při pořízení letecké fotografie."
"Počasí","Volba aktuálního počasí při pořízení letecké fotografie."
"Tvar","Heslář slouží k popisu tvarů povrchových příznaků identifikovaných na leteckých fotografiích."
"Letiště","Definuje letištní plochy užívané při pořizování leteckých fotografií."
