"Heslář","Obsah"
"Typ projektu","Volba typu projektu (záchranné / badatelské). Jedná se o systémový heslář."
"Kulturní památka","Obsahuje seznam typů památkové ochrany, zejména pro účely komunikace s pracovišti Národního památkového ústavu."
