"Heslář","Obsah"
"Podnět - sondy","Heslář slouží pro bližší popis podnětu vzniku dokumentačních jednotek typu sonda."
"Povrch","Heslář popisuje v sondě zastižené úrovně historických terénů."
"Typ sondy","Zahrnuje hesla pro popis metody odkryvu, případně charakteru terénního zásahu."
